value,country_code,year,month,feature_id
,UGA,2020,3,7
0.4,UKR,2020,3,7
0.3,URY,2020,3,7
16.1,USA,2020,3,7
0.1,UZB,2020,3,7
,VAT,2020,3,7
,VCT,2020,3,7
0.1,VEN,2020,3,7
,VNM,2020,3,7
0.1,ZAF,2020,3,7
,ZMB,2020,3,7
0.1,ZWE,2020,3,7
1.5,AFG,2020,4,7
0.1,AGO,2020,4,7
10.8,ALB,2020,4,7
543.0,AND,2020,4,7
10.5,ARE,2020,4,7
4.8,ARG,2020,4,7
10.8,ARM,2020,4,7
30.4,ATG,2020,4,7
3.6,AUS,2020,4,7
64.6,AUT,2020,4,7
2.3,AZE,2020,4,7
0.1,BDI,2020,4,7
652.8,BEL,2020,4,7
0.1,BEN,2020,4,7
2.0,BFA,2020,4,7
1.0,BGD,2020,4,7
9.6,BGR,2020,4,7
4.6,BHR,2020,4,7
27.7,BHS,2020,4,7
21.1,BIH,2020,4,7
9.4,BLR,2020,4,7
4.9,BLZ,2020,4,7
5.2,BOL,2020,4,7
28.1,BRA,2020,4,7
24.3,BRB,2020,4,7
2.3,BRN,2020,4,7
,BTN,2020,4,7
0.4,BWA,2020,4,7
,CAF,2020,4,7
109.8,CAN,2020,4,7
191.0,CHE,2020,4,7
11.8,CHL,2020,4,7
3.2,CHN,2020,4,7
0.5,CIV,2020,4,7
2.2,CMR,2020,4,7
0.3,COD,2020,4,7
1.6,COG,2020,4,7
5.7,COL,2020,4,7
,COM,2020,4,7
1.8,CPV,2020,4,7
1.2,CRI,2020,4,7
5.4,CUB,2020,4,7
16.7,CYP,2020,4,7
22.0,CZE,2020,4,7
78.9,DEU,2020,4,7
2.0,DJI,2020,4,7
,DMA,2020,4,7
77.8,DNK,2020,4,7
27.5,DOM,2020,4,7
10.1,DZA,2020,4,7
50.3,ECU,2020,4,7
3.8,EGY,2020,4,7
,ERI,2020,4,7
525.0,ESP,2020,4,7
39.2,EST,2020,4,7
0.0,ETH,2020,4,7
38.0,FIN,2020,4,7
,FJI,2020,4,7
360.4,FRA,2020,4,7
1.3,GAB,2020,4,7
392.2,GBR,2020,4,7
1.5,GEO,2020,4,7
0.5,GHA,2020,4,7
0.5,GIN,2020,4,7
0.4,GMB,2020,4,7
0.5,GNB,2020,4,7
0.7,GNQ,2020,4,7
13.5,GRC,2020,4,7
,GRD,2020,4,7
0.9,GTM,2020,4,7
11.4,GUY,2020,4,7
0.5,HKG,2020,4,7
7.1,HND,2020,4,7
16.9,HRV,2020,4,7
0.5,HTI,2020,4,7
32.4,HUN,2020,4,7
2.9,IDN,2020,4,7
0.8,IND,2020,4,7
247.2,IRL,2020,4,7
70.9,IRN,2020,4,7
2.3,IRQ,2020,4,7
29.1,ISL,2020,4,7
25.6,ISR,2020,4,7
463.3,ITA,2020,4,7
2.7,JAM,2020,4,7
0.8,JOR,2020,4,7
3.8,JPN,2020,4,7
1.3,KAZ,2020,4,7
0.3,KEN,2020,4,7
1.2,KGZ,2020,4,7
,KHM,2020,4,7
,KNA,2020,4,7
4.8,KOR,2020,4,7
6.0,KWT,2020,4,7
,LAO,2020,4,7
3.5,LBN,2020,4,7
3.1,LBR,2020,4,7
0.4,LBY,2020,4,7
