Value,Country or Area,Code3,Item,Year
71.83,Malaysia,MYS,people_vaccinated_per_hundred,2021
72.1,Maldives,MDV,people_vaccinated_per_hundred,2021
1.52,Mali,MLI,people_vaccinated_per_hundred,2021
81.72,Malta,MLT,people_vaccinated_per_hundred,2021
6.52,Mauritania,MRT,people_vaccinated_per_hundred,2021
67.21,Mauritius,MUS,people_vaccinated_per_hundred,2021
49.07,Mexico,MEX,people_vaccinated_per_hundred,2021
13.94,Moldova,MDA,people_vaccinated_per_hundred,2021
67.49,Monaco,MCO,people_vaccinated_per_hundred,2021
67.62,Mongolia,MNG,people_vaccinated_per_hundred,2021
38.73,Montenegro,MNE,people_vaccinated_per_hundred,2021
29.77,Montserrat,MSR,people_vaccinated_per_hundred,2021
59.74,Morocco,MAR,people_vaccinated_per_hundred,2021
5.92,Mozambique,MOZ,people_vaccinated_per_hundred,2021
13.15,Myanmar,MMR,people_vaccinated_per_hundred,2021
10.1,Namibia,NAM,people_vaccinated_per_hundred,2021
70.01,Nauru,NRU,people_vaccinated_per_hundred,2021
25.13,Nepal,NPL,people_vaccinated_per_hundred,2021
74.6,Netherlands,NLD,people_vaccinated_per_hundred,2021
48.95,New Caledonia,NCL,people_vaccinated_per_hundred,2021
67.8,New Zealand,NZL,people_vaccinated_per_hundred,2021
7.49,Nicaragua,NIC,people_vaccinated_per_hundred,2021
1.62,Niger,NER,people_vaccinated_per_hundred,2021
2.27,Nigeria,NGA,people_vaccinated_per_hundred,2021
74.47,Niue,NIU,people_vaccinated_per_hundred,2021
57.6,North America,OWID_NAM,people_vaccinated_per_hundred,2021
37.73,North Macedonia,MKD,people_vaccinated_per_hundred,2021
41.95,Northern Cyprus,OWID_CYN,people_vaccinated_per_hundred,2021
76.0,Norway,NOR,people_vaccinated_per_hundred,2021
49.02,Oceania,OWID_OCE,people_vaccinated_per_hundred,2021
55.45,Oman,OMN,people_vaccinated_per_hundred,2021
26.45,Pakistan,PAK,people_vaccinated_per_hundred,2021
26.86,Palestine,PSE,people_vaccinated_per_hundred,2021
66.73,Panama,PAN,people_vaccinated_per_hundred,2021
1.32,Papua New Guinea,PNG,people_vaccinated_per_hundred,2021
36.32,Paraguay,PRY,people_vaccinated_per_hundred,2021
46.64,Peru,PER,people_vaccinated_per_hundred,2021
22.69,Philippines,PHL,people_vaccinated_per_hundred,2021
100.0,Pitcairn,PCN,people_vaccinated_per_hundred,2021
52.42,Poland,POL,people_vaccinated_per_hundred,2021
87.83,Portugal,PRT,people_vaccinated_per_hundred,2021
80.54,Qatar,QAT,people_vaccinated_per_hundred,2021
29.16,Romania,ROU,people_vaccinated_per_hundred,2021
32.95,Russia,RUS,people_vaccinated_per_hundred,2021
15.94,Rwanda,RWA,people_vaccinated_per_hundred,2021
71.55,Saint Helena,SHN,people_vaccinated_per_hundred,2021
47.42,Saint Kitts and Nevis,KNA,people_vaccinated_per_hundred,2021
24.93,Saint Lucia,LCA,people_vaccinated_per_hundred,2021
18.53,Saint Vincent and the Grenadines,VCT,people_vaccinated_per_hundred,2021
57.31,Samoa,WSM,people_vaccinated_per_hundred,2021
71.85,San Marino,SMR,people_vaccinated_per_hundred,2021
27.11,Sao Tome and Principe,STP,people_vaccinated_per_hundred,2021
66.18,Saudi Arabia,SAU,people_vaccinated_per_hundred,2021
7.26,Senegal,SEN,people_vaccinated_per_hundred,2021
44.63,Serbia,SRB,people_vaccinated_per_hundred,2021
78.16,Seychelles,SYC,people_vaccinated_per_hundred,2021
