country_code,1,2,3,4,5,6,7,101,102,103
ECU,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0
FJI,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0
GRD,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0
GUM,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
GUY,0.0,1.0,0.0,5.0,1.0,5.0,0.0,2.0,3.0,0.0
ISL,0.0,1.0,0.0,3.0,7.0,0.0,1.0,2.0,3.0,4.0
LBN,0.0,1.0,2.0,0.0,0.0,2.0,5.0,1.0,3.0,1.0
LCA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0
MDV,0.0,1.0,5.0,5.0,0.0,7.0,2.0,0.0,7.0,0.0
MKD,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
MLT,0.0,1.0,0.0,2.0,1.0,7.0,3.0,2.0,0.0,7.0
MNE,0.0,1.0,6.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0
MUS,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,6.0
NCL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
OMN,0.0,1.0,1.0,0.0,2.0,6.0,4.0,1.0,8.0,0.0
PYF,0.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0
SMR,0.0,1.0,0.0,0.0,0.0,7.0,7.0,2.0,0.0,0.0
SRB,0.0,1.0,7.0,0.0,6.0,0.0,5.0,2.0,3.0,0.0
SUR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0
SYR,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
TCA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
VCT,0.0,1.0,6.0,0.0,0.0,2.0,2.0,1.0,3.0,8.0
VGB,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,2.0
BHS,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,,5.0
BRA,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
COL,0.0,2.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,0.0
CUB,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,
CYP,0.0,2.0,0.0,3.0,5.0,4.0,0.0,4.0,0.0,3.0
DOM,0.0,2.0,2.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0
EST,0.0,2.0,5.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0
IRN,0.0,2.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
IRQ,0.0,2.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0
JAM,0.0,2.0,0.0,3.0,0.0,2.0,0.0,4.0,,0.0
KAZ,0.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,6.0,0.0
KWT,0.0,2.0,1.0,0.0,0.0,5.0,0.0,4.0,8.0,0.0
NOR,0.0,2.0,0.0,0.0,4.0,0.0,2.0,4.0,0.0,2.0
PER,0.0,2.0,1.0,0.0,4.0,0.0,7.0,4.0,0.0,0.0
PRI,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
PRY,0.0,2.0,2.0,4.0,0.0,0.0,0.0,4.0,6.0,0.0
SVN,0.0,2.0,5.0,3.0,6.0,0.0,0.0,4.0,0.0,0.0
CZE,0.0,3.0,0.0,0.0,0.0,4.0,7.0,2.0,0.0,3.0
DNK,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
MAC,0.0,3.0,1.0,0.0,0.0,5.0,0.0,1.0,8.0,0.0
MYS,0.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,8.0,0.0
THA,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0
ARE,0.0,4.0,1.0,0.0,0.0,7.0,2.0,0.0,8.0,6.0
KOR,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0
SAU,0.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,6.0,6.0
SGP,0.0,4.0,0.0,4.0,5.0,0.0,1.0,8.0,0.0,4.0
ZAF,0.0,4.0,7.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0
TUR,0.0,5.0,0.0,1.0,0.0,5.0,4.0,8.0,0.0,0.0
ITA,0.0,5.0,4.0,0.0,5.0,0.0,6.0,2.0,0.0,3.0
MEX,0.0,5.0,0.0,0.0,0.0,5.0,6.0,2.0,0.0,0.0
USA,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0
PRK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,
AUS,0.0,0.0,2.0,0.0,2.0,6.0,1.0,1.0,2.0,6.0
BLR,0.0,0.0,2.0,4.0,0.0,2.0,0.0,1.0,6.0,0.0
BHR,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
BGR,0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
BWA,0.0,0.0,6.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0
GAB,0.0,0.0,6.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0
LBY,0.0,0.0,6.0,5.0,7.0,2.0,0.0,1.0,0.0,0.0
CHN,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,6.0
TKM,0.0,0.0,0.0,1.0,2.0,4.0,0.0,8.0,0.0,3.0
IRL,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0
ESP,0.0,0.0,0.0,3.0,3.0,0.0,6.0,8.0,0.0,0.0
PRT,0.0,0.0,0.0,3.0,5.0,0.0,0.0,2.0,0.0,4.0
ROU,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
NRU,0.0,0.0,0.0,5.0,0.0,0.0,2.0,7.0,0.0,
SWE,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,4.0,3.0
CHE,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,3.0
GRC,0.0,0.0,0.0,0.0,7.0,4.0,5.0,2.0,0.0,3.0
JPN,0.0,0.0,0.0,0.0,7.0,0.0,1.0,8.0,0.0,6.0
FRO,,,,,,,,,2.0,
AND,,,,,,,,,,3.0
SOM,,,,,,,,,,2.0
